Date,SPY,EFA,EEM,VNQ,IEF,TIP,LQD,HYG,Portfolio
2018-06-05,0.000436434745679648,-0.00047006469304220475,-0.0007692351739854719,-0.0010510181436269583,0.0007678596529860248,0.0006710980380925102,6.975460613640738e-05,0.00011707624718946264,-0.00022809472057058205
2018-06-06,0.005016438665945788,0.0026961767863112663,0.001507318777756561,0.0009533406603344119,-0.0012078122364983402,-0.0006428266780295732,-0.00036607469453313617,0.0002457070773256076,0.008202268358612584
2018-06-07,-6.494350926999903e-05,-0.0016966148605360055,-0.001527365122586788,0.0,0.0012718839456819175,0.0009126846608499273,0.00033245035411937356,3.498899404028588e-05,-0.0007369155377012882
2018-06-08,0.001773972841544813,0.000341234068403895,-0.00019387390709392217,0.0014517433094675348,-0.00041218532016205065,-0.0005085530869128662,-0.00016570154851340836,-5.8283229906830326e-05,0.0022283531268271653
2018-06-11,0.0007980381859910679,0.0019173454436266057,0.0,-0.0005985205535053773,-0.0002951028104586806,0.0,-9.603729763153491e-05,0.0001867879264595862,0.001912510894481667
2018-06-12,0.0007752176586421911,-0.001905169218558156,-0.0002590159798288694,0.0023975320536191447,-0.0001771135608749641,-0.00024129883387409288,8.72844794892469e-06,8.156452262169101e-05,0.0006804450896958692
2018-06-13,-0.0019144543447676243,0.0004260391691359278,-0.0006708400090395306,-0.007795447188177329,-0.000354509897725197,-0.00018769202453213784,-9.613678540028038e-05,3.4926115390443434e-05,-0.010558114965115729
2018-06-14,0.001510683688149461,-0.000638208808041174,-0.0006753892004638496,0.003798080051744357,0.0009464700011728499,0.0007785034856967688,0.00045495380386415544,0.00029100980128990986,0.006466102823412478
2018-06-15,-0.0007655882097126199,-0.0015349552830645097,-0.0007896513794406813,-0.0002509374983422852,0.0002357693887240053,0.00010715138972032801,-0.00013933033543684915,-5.808507117597284e-05,-0.0031956269987285847
2018-06-18,-0.0012340844100413805,-0.0021428052804698173,-0.0012160151467942915,0.00011146957284537962,0.00014732874988088174,0.0002408609636767922,-0.00010469012212838136,-1.1592099684365477e-05,-0.004209527772715182
2018-06-19,-0.0022994862456636065,-0.0027558845432095747,-0.0011038290280291462,-0.0004050547865669607,0.0007950332792698189,0.00048128765489672263,5.237660903063546e-05,-0.00013933622615200925,-0.005374893286424121
